country,date,sector,value,timestamp,rounded_value,Treat,ln_value,Lockdown,Lockdown*Treat
India,01-01-2019,Power,3.33652,1546300800,3.337,0,1.204928348,1,0
India,02-01-2019,Power,3.37735,1546387200,3.377,0,1.217091378,1,0
India,03-01-2019,Power,3.41498,1546473600,3.415,0,1.228171636,1,0
India,04-01-2019,Power,3.44822,1546560000,3.448,0,1.237858156,1,0
India,05-01-2019,Power,3.42226,1546646400,3.422,0,1.230301152,1,0
India,06-01-2019,Power,3.25412,1546732800,3.254,0,1.179921886,1,0
India,07-01-2019,Power,3.34851,1546819200,3.349,0,1.208515471,1,0
India,08-01-2019,Power,3.46491,1546905600,3.465,0,1.242686658,1,0
India,09-01-2019,Power,3.4555,1546992000,3.456,0,1.239967165,1,0
India,10-01-2019,Power,3.46097,1547078400,3.461,0,1.241548897,1,0
India,11-01-2019,Power,3.51453,1547164800,3.515,0,1.256905804,1,0
India,12-01-2019,Power,3.49405,1547251200,3.494,0,1.251061522,1,0
India,13-01-2019,Power,3.31512,1547337600,3.315,0,1.198493822,1,0
India,14-01-2019,Power,3.22422,1547424000,3.224,0,1.170691061,1,0
India,15-01-2019,Power,3.3086,1547510400,3.309,0,1.196525139,1,0
India,16-01-2019,Power,3.38827,1547596800,3.388,0,1.220319467,1,0
India,17-01-2019,Power,3.40694,1547683200,3.407,0,1.225814528,1,0
India,18-01-2019,Power,3.46597,1547769600,3.466,0,1.242992536,1,0
India,19-01-2019,Power,3.45974,1547856000,3.46,0,1.241193442,1,0
India,20-01-2019,Power,3.33515,1547942400,3.335,0,1.204517656,1,0
India,21-01-2019,Power,3.30685,1548028800,3.307,0,1.195996075,1,0
India,22-01-2019,Power,3.27855,1548115200,3.279,0,1.187401251,1,0
India,23-01-2019,Power,3.41771,1548201600,3.418,0,1.228970736,1,0
India,24-01-2019,Power,3.35867,1548288000,3.359,0,1.211545062,1,0
India,25-01-2019,Power,3.3001,1548374400,3.3,0,1.193952771,1,0
India,26-01-2019,Power,3.07656,1548460800,3.077,0,1.12381209,1,0
India,27-01-2019,Power,3.07064,1548547200,3.071,0,1.121886009,1,0
India,28-01-2019,Power,3.23833,1548633600,3.238,0,1.175057765,1,0
India,29-01-2019,Power,3.31421,1548720000,3.314,0,1.198219285,1,0
India,30-01-2019,Power,3.39251,1548806400,3.393,0,1.22157006,1,0
India,31-01-2019,Power,3.37172,1548892800,3.372,0,1.215423,1,0
India,01-02-2019,Power,3.30241,1548979200,3.302,0,1.194652505,1,0
India,02-02-2019,Power,3.29241,1549065600,3.292,0,1.191619819,1,0
India,03-02-2019,Power,3.19179,1549152000,3.192,0,1.160581888,1,0
India,04-02-2019,Power,3.27282,1549238400,3.273,0,1.185651999,1,0
India,05-02-2019,Power,3.43398,1549324800,3.434,0,1.233719938,1,0
India,06-02-2019,Power,3.41987,1549411200,3.42,0,1.229602539,1,0
India,07-02-2019,Power,3.2839,1549497600,3.284,0,1.18903174,1,0
India,08-02-2019,Power,3.33898,1549584000,3.339,0,1.205665371,1,0
India,09-02-2019,Power,3.34278,1549670400,3.343,0,1.206802796,1,0
India,10-02-2019,Power,3.27115,1549756800,3.271,0,1.185141605,1,0
India,11-02-2019,Power,3.29831,1549843200,3.298,0,1.193410216,1,0
India,12-02-2019,Power,3.33898,1549929600,3.339,0,1.205665371,1,0
India,13-02-2019,Power,3.41107,1550016000,3.411,0,1.227026025,1,0
India,14-02-2019,Power,3.40971,1550102400,3.41,0,1.226627244,1,0
