Country,date,sector,emission,abc,rounded_emissions,Treat,Lockdown,Lockdown*Treat,ln_value,month,year
India,01-01-2019,Ground Transport,0.81621,1546300800,0.816,0,1,0,-0.203083604,1,1
India,02-01-2019,Ground Transport,0.834113,1546387200,0.834,0,1,0,-0.181386394,1,1
India,03-01-2019,Ground Transport,0.841574,1546473600,0.842,0,1,0,-0.172481331,1,1
India,04-01-2019,Ground Transport,0.842256,1546560000,0.842,0,1,0,-0.171671273,1,1
India,05-01-2019,Ground Transport,0.8345,1546646400,0.834,0,1,0,-0.180922536,1,1
India,06-01-2019,Ground Transport,0.783472,1546732800,0.783,0,1,0,-0.244019955,1,1
India,07-01-2019,Ground Transport,0.851924,1546819200,0.852,0,1,0,-0.160257958,1,1
India,08-01-2019,Ground Transport,0.849987,1546905600,0.85,0,1,0,-0.162534224,1,1
India,09-01-2019,Ground Transport,0.85244,1546992000,0.852,0,1,0,-0.159652454,1,1
India,10-01-2019,Ground Transport,0.852093,1547078400,0.852,0,1,0,-0.160059603,1,1
India,11-01-2019,Ground Transport,0.824344,1547164800,0.824,0,1,0,-0.19316736,1,1
India,12-01-2019,Ground Transport,0.801485,1547251200,0.801,0,1,0,-0.221289022,1,1
India,13-01-2019,Ground Transport,0.827079,1547337600,0.827,0,1,0,-0.189855063,1,1
India,14-01-2019,Ground Transport,0.845832,1547424000,0.846,0,1,0,-0.167434521,1,1
India,15-01-2019,Ground Transport,0.852258,1547510400,0.852,0,1,0,-0.159865981,1,1
India,16-01-2019,Ground Transport,0.862473,1547596800,0.862,0,1,0,-0.147951435,1,1
India,17-01-2019,Ground Transport,0.855752,1547683200,0.856,0,1,0,-0.155774664,1,1
India,18-01-2019,Ground Transport,0.860798,1547769600,0.861,0,1,0,-0.149895413,1,1
India,19-01-2019,Ground Transport,0.856241,1547856000,0.856,0,1,0,-0.1552034,1,1
India,20-01-2019,Ground Transport,0.813786,1547942400,0.814,0,1,0,-0.206057847,1,1
India,21-01-2019,Ground Transport,0.860982,1548028800,0.861,0,1,0,-0.149681681,1,1
India,22-01-2019,Ground Transport,0.863223,1548115200,0.863,0,1,0,-0.14708222,1,1
India,23-01-2019,Ground Transport,0.869637,1548201600,0.87,0,1,0,-0.139679396,1,1
India,24-01-2019,Ground Transport,0.862504,1548288000,0.863,0,1,0,-0.147915492,1,1
India,25-01-2019,Ground Transport,0.868498,1548374400,0.868,0,1,0,-0.140989996,1,1
India,26-01-2019,Ground Transport,0.762766,1548460800,0.763,0,1,0,-0.270803979,1,1
India,27-01-2019,Ground Transport,0.812455,1548547200,0.812,0,1,0,-0.207694751,1,1
India,28-01-2019,Ground Transport,0.857439,1548633600,0.857,0,1,0,-0.153805239,1,1
India,29-01-2019,Ground Transport,0.861785,1548720000,0.862,0,1,0,-0.148749459,1,1
India,30-01-2019,Ground Transport,0.860553,1548806400,0.861,0,1,0,-0.150180073,1,1
India,31-01-2019,Ground Transport,0.857454,1548892800,0.857,0,1,0,-0.153787746,1,1
India,01-02-2019,Ground Transport,0.860215,1548979200,0.86,0,1,0,-0.150572921,2,1
India,02-02-2019,Ground Transport,0.854786,1549065600,0.855,0,1,0,-0.156904134,2,1
India,03-02-2019,Ground Transport,0.809818,1549152000,0.81,0,1,0,-0.210945748,2,1
India,04-02-2019,Ground Transport,0.85989,1549238400,0.86,0,1,0,-0.150950805,2,1
India,05-02-2019,Ground Transport,0.859365,1549324800,0.859,0,1,0,-0.151561535,2,1
India,06-02-2019,Ground Transport,0.863554,1549411200,0.864,0,1,0,-0.146698847,2,1
India,07-02-2019,Ground Transport,0.866625,1549497600,0.867,0,1,0,-0.143148922,2,1
India,08-02-2019,Ground Transport,0.867437,1549584000,0.867,0,1,0,-0.142212392,2,1
India,09-02-2019,Ground Transport,0.856717,1549670400,0.857,0,1,0,-0.154647637,2,1
India,10-02-2019,Ground Transport,0.814076,1549756800,0.814,0,1,0,-0.205701551,2,1
India,11-02-2019,Ground Transport,0.856122,1549843200,0.856,0,1,0,-0.15534239,2,1
India,12-02-2019,Ground Transport,0.856513,1549929600,0.857,0,1,0,-0.154885783,2,1
India,13-02-2019,Ground Transport,0.862477,1550016000,0.862,0,1,0,-0.147946797,2,1
India,14-02-2019,Ground Transport,0.864447,1550102400,0.864,0,1,0,-0.145665283,2,1
India,15-02-2019,Ground Transport,0.864512,1550188800,0.865,0,1,0,-0.145590093,2,1
India,16-02-2019,Ground Transport,0.848336,1550275200,0.848,0,1,0,-0.164478495,2,1
India,17-02-2019,Ground Transport,0.805526,1550361600,0.806,0,1,0,-0.216259799,2,1
India,18-02-2019,Ground Transport,0.853544,1550448000,0.854,0,1,0,-0.158358186,2,1
India,19-02-2019,Ground Transport,0.857997,1550534400,0.858,0,1,0,-0.153154676,2,1
India,20-02-2019,Ground Transport,0.848999,1550620800,0.849,0,1,0,-0.163697271,2,1
India,21-02-2019,Ground Transport,0.856793,1550707200,0.857,0,1,0,-0.15455893,2,1
India,22-02-2019,Ground Transport,0.860357,1550793600,0.86,0,1,0,-0.15040786,2,1
India,23-02-2019,Ground Transport,0.847557,1550880000,0.848,0,1,0,-0.165397185,2,1
India,24-02-2019,Ground Transport,0.789936,1550966400,0.79,0,1,0,-0.235803349,2,1
India,25-02-2019,Ground Transport,0.858492,1551052800,0.858,0,1,0,-0.152577917,2,1
India,26-02-2019,Ground Transport,0.853158,1551139200,0.853,0,1,0,-0.15881052,2,1
India,27-02-2019,Ground Transport,0.85647,1551225600,0.856,0,1,0,-0.154935988,2,1
India,28-02-2019,Ground Transport,0.816053,1551312000,0.816,0,1,0,-0.203275975,2,1
India,01-03-2019,Ground Transport,0.856556,1551398400,0.857,0,1,0,-0.154835581,3,1
India,02-03-2019,Ground Transport,0.853911,1551484800,0.854,0,1,0,-0.157928306,3,1
India,03-03-2019,Ground Transport,0.804152,1551571200,0.804,0,1,0,-0.217966973,3,1
India,04-03-2019,Ground Transport,0.82081,1551657600,0.821,0,1,0,-0.197463621,3,1
