country,date,sector,value,timestamp,rounded_value,Treat,Lockdown,Lockdown*Treat,ln_value
India,01-01-2019,Residential,1.67422,1546300800,1.674,0,1,0,0.515347385
India,02-01-2019,Residential,1.52281,1546387200,1.523,0,1,0,0.420557312
India,03-01-2019,Residential,1.59139,1546473600,1.591,0,1,0,0.464607848
India,04-01-2019,Residential,1.6022,1546560000,1.602,0,1,0,0.471377685
India,05-01-2019,Residential,1.36737,1546646400,1.367,0,1,0,0.312889187
India,06-01-2019,Residential,1.32894,1546732800,1.329,0,1,0,0.284381632
India,07-01-2019,Residential,1.46101,1546819200,1.461,0,1,0,0.379127977
India,08-01-2019,Residential,1.47917,1546905600,1.479,0,1,0,0.39148112
India,09-01-2019,Residential,1.6603,1546992000,1.66,0,1,0,0.506998309
India,10-01-2019,Residential,1.66298,1547078400,1.663,0,1,0,0.508611174
India,11-01-2019,Residential,1.45702,1547164800,1.457,0,1,0,0.376393254
India,12-01-2019,Residential,1.34253,1547251200,1.343,0,1,0,0.294555894
India,13-01-2019,Residential,1.17897,1547337600,1.179,0,1,0,0.164641176
India,14-01-2019,Residential,1.49142,1547424000,1.491,0,1,0,0.399728686
India,15-01-2019,Residential,1.92653,1547510400,1.927,0,1,0,0.655720457
India,16-01-2019,Residential,1.69934,1547596800,1.699,0,1,0,0.53023994
India,17-01-2019,Residential,1.4951,1547683200,1.495,0,1,0,0.402193094
India,18-01-2019,Residential,1.35926,1547769600,1.359,0,1,0,0.306940434
India,19-01-2019,Residential,1.08791,1547856000,1.088,0,1,0,0.084258424
India,20-01-2019,Residential,0.791824,1547942400,0.792,0,1,0,-0.233416134
India,21-01-2019,Residential,0.700467,1548028800,0.7,0,1,0,-0.356008024
India,22-01-2019,Residential,0.918964,1548115200,0.919,0,1,0,-0.08450833
India,23-01-2019,Residential,1.03898,1548201600,1.039,0,1,0,0.038239463
India,24-01-2019,Residential,1.09401,1548288000,1.094,0,1,0,0.089849845
India,25-01-2019,Residential,1.39571,1548374400,1.396,0,1,0,0.333403246
India,26-01-2019,Residential,1.5714,1548460800,1.571,0,1,0,0.451966942
India,27-01-2019,Residential,1.66598,1548547200,1.666,0,1,0,0.510413539
India,28-01-2019,Residential,1.80786,1548633600,1.808,0,1,0,0.592143825
